movie_title,title_year,imdb_score
Iron Man ,2008,7.9
Hugo ,2011,7.5
The Mummy: Tomb of the Dragon Emperor ,2008,5.2
Suicide Squad ,2016,6.9
Evan Almighty ,2007,5.4
Edge of Tomorrow ,2014,7.9
G.I. Joe: The Rise of Cobra ,2009,5.8
Inside Out ,2015,8.3
The Jungle Book ,2016,7.8
Iron Man 2 ,2010,7
Snow White and the Huntsman ,2012,6.1
Maleficent ,2014,7
Dawn of the Planet of the Apes ,2014,7.6
The Lovers ,2015,4.5
47 Ronin ,2013,6.3
Captain America: The Winter Soldier ,2014,7.8
Shrek Forever After ,2010,6.4
Tomorrowland ,2015,6.5
Big Hero 6 ,2014,7.9
Wreck-It Ralph ,2012,7.8
Independence Day: Resurgence ,2016,5.5
How to Train Your Dragon ,2010,8.2
Guardians of the Galaxy ,2014,8.1
Interstellar ,2014,8.6
Inception ,2010,8.8
Godzilla Resurgence ,2016,8.2
The Hobbit: An Unexpected Journey ,2012,7.9
The Curious Case of Benjamin Button ,2008,7.8
X-Men: First Class ,2011,7.8
The Hunger Games: Mockingjay - Part 2 ,2015,6.6
The Sorcerer's Apprentice ,2010,6.1
Alice Through the Looking Glass ,2016,6.4
Shrek the Third ,2007,6.1
Warcraft ,2016,7.3
Terminator Genisys ,2015,6.6
The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,6.3
Transformers ,2007,7.1
Harry Potter and the Order of the Phoenix ,2007,7.5
Hancock ,2008,6.4
I Am Legend ,2007,7.2
Ratatouille ,2007,8
Madagascar: Escape 2 Africa ,2008,6.7
Night at the Museum: Battle of the Smithsonian ,2009,5.9
X-Men Origins: Wolverine ,2009,6.7
Frozen ,2013,7.6
Thor: The Dark World ,2013,7.1
Mad Max: Fury Road ,2015,8.1
Angels & Demons ,2009,6.7
Thor ,2011,7
Bolt ,2008,6.9
G-Force ,2009,5.1
Wrath of the Titans ,2012,5.8
Dark Shadows ,2012,6.2
Mission: Impossible - Rogue Nation ,2015,7.4
The Wolfman ,2010,5.8
The Legend of Tarzan ,2016,6.6
Bee Movie ,2007,6.2
Kung Fu Panda 2 ,2011,7.3
The Last Airbender ,2010,4.2
White House Down ,2013,6.4
Mars Needs Moms ,2011,5.4
Pan ,2015,5.8
Mr. Peabody & Sherman ,2014,6.9
Madagascar 3: Europe's Most Wanted ,2012,6.9
Ghostbusters ,2016,5.5
Beowulf ,2007,6.3
Kung Fu Panda 3 ,2016,7.2
Mission: Impossible - Ghost Protocol ,2011,7.4
Rise of the Guardians ,2012,7.3
Exodus: Gods and Kings ,2014,6.1
Star Trek ,2009,8
How to Train Your Dragon 2 ,2014,7.9
Gods of Egypt ,2016,5.5
Watchmen ,2009,7.7
G.I. Joe: Retaliation ,2013,5.8
Captain America: The First Avenger ,2011,6.9
The Twilight Saga: Breaking Dawn - Part 2 ,2012,5.5
Happy Feet 2 ,2011,5.9
The Incredible Hulk ,2008,6.8
The BFG ,2016,6.8
The Revenant ,2015,8.1
Turbo ,2013,6.5
Rango ,2011,7.2
Penguins of Madagascar ,2014,6.7
The Bourne Ultimatum ,2007,8.1
Kung Fu Panda ,2008,7.6
Ant-Man ,2015,7.4
The Hunger Games: Catching Fire ,2013,7.6
The Twilight Saga: Breaking Dawn - Part 2 ,2012,5.5
Home ,2015,6.7
Puss in Boots ,2011,6.7
Salt ,2010,6.4
Noah ,2014,5.8
The Adventures of Tintin ,2011,7.4
Australia ,2008,6.6
After Earth ,2013,4.9
Harry Potter and the Deathly Hallows: Part II ,2011,7.5
Night at the Museum: Secret of the Tomb ,2014,6.2
Megamind ,2010,7.3
R.I.P.D. ,2013,5.6
Godzilla Resurgence ,2016,8.2
Harry Potter and the Deathly Hallows: Part I ,2010,6.4
The Hunger Games: Mockingjay - Part 1 ,2014,6.7
Rio 2 ,2014,6.4
Fast Five ,2011,7.3
Sherlock Holmes: A Game of Shadows ,2011,7.5
Clash of the Titans ,2010,5.8
The Bourne Legacy ,2012,6.7
Fantastic 4: Rise of the Silver Surfer ,2007,5.6
Life of Pi ,2012,8
Ghost Rider ,2007,5.2
Jason Bourne ,2016,7.1
Prometheus ,2012,7
Elysium ,2013,6.6
RoboCop ,2014,6.2
Speed Racer ,2008,6.1
How Do You Know ,2010,5.3
Knight and Day ,2010,6.3
Oblivion ,2013,7
The Wolverine ,2013,6.7
The Croods ,2013,7.3
Asterix at the Olympic Games ,2008,5.1
The Huntsman: Winter's War ,2016,6.1
Teenage Mutant Ninja Turtles ,2014,5.9
Gravity ,2013,7.8
Teenage Mutant Ninja Turtles: Out of the Shadows ,2016,6.3
Fantastic Four ,2015,4.3
San Andreas ,2015,6.1
Insurgent ,2015,6.3
Gulliver's Travels ,2010,4.9
The Green Hornet ,2011,5.8
300: Rise of an Empire ,2014,6.2
The Smurfs ,2011,5.5
Allegiant ,2016,5.8
Real Steel ,2011,7.1
The Smurfs 2 ,2013,5.4
Ender's Game ,2013,6.7
Live Free or Die Hard ,2007,7.2
The Princess and the Frog ,2009,7.1
The Martian ,2015,8.1
Public Enemies ,2009,7
American Gangster ,2007,7.8
The Taking of Pelham 1 2 3 ,2009,6.4
Little Fockers ,2010,5.5
The Other Guys ,2010,6.7
Django Unchained ,2012,8.5
The Expendables 2 ,2012,6.7
Where the Wild Things Are ,2009,6.8
Pan ,2015,5.8
Epic ,2013,6.7
The Tourist ,2010,6
The Wolf of Wall Street ,2013,8.2
Cloud Atlas ,2012,7.5
Legend of the Guardians: The Owls of Ga'Hoole ,2010,7
Hercules ,2014,6
Land of the Lost ,2009,5.4
The Expendables 3 ,2014,6.1
Point Break ,2015,5.3
In the Heart of the Sea ,2015,7
Green Zone ,2010,6.9
The Peanuts Movie ,2015,7.2
The Flowers of War ,2011,7.6
Surf's Up ,2007,6.8
The Campaign ,2012,6.2
Sex and the City 2 ,2010,4.3
Ice Age: Continental Drift ,2012,6.6
Cinderella ,2015,7
The Lovely Bones ,2009,6.7
Seventh Son ,2014,5.5
Transcendence ,2014,6.3
Rise of the Planet of the Apes ,2011,7.6
The Spiderwick Chronicles ,2008,6.6
A Good Day to Die Hard ,2013,5.3
Percy Jackson & the Olympians: The Lightning Thief ,2010,5.9
Unstoppable ,2010,6.8
Cloudy with a Chance of Meatballs ,2009,7
Ice Age: Dawn of the Dinosaurs ,2009,7
The Secret Life of Walter Mitty ,2013,7.3
Tropic Thunder ,2008,7
The Girl with the Dragon Tattoo ,2011,7.8
Sherlock Holmes ,2009,7.6
Ben-Hur ,2016,6.1
Alvin and the Chipmunks: The Road Chip ,2015,5
Valkyrie ,2008,7.1
You Don't Mess with the Zohan ,2008,5.5
Pixels ,2015,5.6
Percy Jackson: Sea of Monsters ,2013,5.9
Now You See Me 2 ,2016,6.9
Rio ,2011,7
Fantastic Four ,2015,4.3
The Nutcracker in 3D ,2010,4.4
The Three Musketeers ,2011,5.8
Hotel Transylvania ,2012,7.1
Enchanted ,2007,7.1
Safe House ,2012,6.8
Tower Heist ,2011,6.2
It's Complicated ,2009,6.6
Ocean's Thirteen ,2007,6.9
Divergent ,2014,6.7
Arthur Christmas ,2011,7.1
Mirror Mirror ,2012,5.6
Scott Pilgrim vs. the World ,2010,7.5
Dredd ,2012,7.1
Cats & Dogs: The Revenge of Kitty Galore ,2010,4.3
Jumper ,2008,6.1
Hellboy II: The Golden Army ,2008,7
Zodiac ,2007,7.7
The Expendables ,2010,6.5
The Hunger Games ,2012,7.3
The Hangover Part II ,2011,6.5
RED 2 ,2013,6.7
Alvin and the Chipmunks: Chipwrecked ,2011,4.4
Grown Ups 2 ,2013,5.4
Get Smart ,2008,6.5
Shutter Island ,2010,8.1
Four Christmases ,2008,5.6
Bedtime Stories ,2008,6.1
Just Go with It ,2011,6.4
Eagle Eye ,2008,6.6
The Book of Eli ,2010,6.9
The Day the Earth Stood Still ,2008,5.5
Fury ,2014,7.6
Yogi Bear ,2010,4.6
Zookeeper ,2011,5.2
Hotel Transylvania 2 ,2015,6.7
Evolution ,2015,6.4
Surrogates ,2009,6.3
Walking with Dinosaurs 3D ,2013,5.2
Nine ,2009,5.8
The Last Witch Hunter ,2015,6
Oceans ,2009,7.8
Pompeii ,2014,5.6
Top Cat Begins ,2015,4.4
Journey 2: The Mysterious Island ,2012,5.8
Cloudy with a Chance of Meatballs 2 ,2013,6.5
Jack and Jill ,2011,3.4
The Little Prince ,2015,7.8
The Invasion ,2007,5.9
The Secret Life of Pets ,2016,6.8
Despicable Me 2 ,2013,7.5
Wanted ,2008,6.7
Hairspray ,2007,6.7
Now You See Me ,2013,7.3
Grown Ups ,2010,6
Hotel for Dogs ,2009,5.4
Charlie Wilson's War ,2007,7.1
Killers ,2010,5.4
The Man from U.N.C.L.E. ,2015,7.3
Immortals ,2011,6.1
Carriers ,2009,6
Minions ,2015,6.4
Sucker Punch ,2011,6.1
The Angry Birds Movie ,2016,6.3
Fool's Gold ,2008,5.6
Funny People ,2009,6.4
The Kingdom ,2007,7.1
The Simpsons Movie ,2007,7.4
The SpongeBob Movie: Sponge Out of Water ,2015,6
Inglourious Basterds ,2009,8.3
Hercules ,2014,6
Alvin and the Chipmunks: The Squeakquel ,2009,4.5
Olympus Has Fallen ,2013,6.5
Battle Los Angeles ,2011,5.8
War Horse ,2011,7.2
The Monuments Men ,2014,6.1
Wall Street: Money Never Sleeps ,2010,6.3
Dracula Untold ,2014,6.3
Stardust ,2007,7.7
The Dilemma ,2011,5.3
Underworld: Awakening ,2012,6.4
Rock of Ages ,2012,5.9
Killer Elite ,2011,6.5
Legends of Oz: Dorothy's Return ,2013,5.6
Blackhat ,2015,5.4
Escape Plan ,2013,6.7
The Legend of Hercules ,2014,4.2
The Twilight Saga: Eclipse ,2010,4.9
Despicable Me ,2010,7.7
Ted 2 ,2015,6.4
Agora ,2009,7.2
Hall Pass ,2011,5.9
The Finest Hours ,2016,6.8
Body of Lies ,2008,7.1
Dinner for Schmucks ,2010,5.9
Abraham Lincoln: Vampire Hunter ,2012,5.9
The Last Legion ,2007,5.4
Need for Speed ,2014,6.5
Lincoln ,2012,7.4
Les Misérables ,2012,7.6
Step Brothers ,2008,6.9
Due Date ,2010,6.6
Unbroken ,2014,7.2
The Dictator ,2012,6.4
Annie ,2014,5.2
Focus ,2015,6.6
This Means War ,2012,6.3
Resident Evil: Retribution ,2012,5.4
Death Race ,2008,6.4
"I, Frankenstein ",2014,5.1
Sin City: A Dame to Kill For ,2014,6.5
Everest ,2015,7.1
Astro Boy ,2009,6.3
Dragon Blade ,2015,6.1
The Love Guru ,2008,3.8
The Hateful Eight ,2015,7.9
Blades of Glory ,2007,6.3
Hop ,2011,5.5
Marley & Me ,2008,7.1
Wild Hogs ,2007,5.9
Gone Girl ,2014,8.1
2 Guns ,2013,6.7
Couples Retreat ,2009,5.5
The Scorch Trials ,2015,6.4
Eat Pray Love ,2010,5.7
RED ,2010,7.1
Jack Reacher ,2012,7
This Is It ,2009,7.3
Contagion ,2011,6.6
Coraline ,2009,7.7
The Happening ,2008,5
ParaNorman ,2012,7
The Tale of Despereaux ,2008,6.1
Jack Ryan: Shadow Recruit ,2014,6.2
Joy ,2015,6.6
London Has Fallen ,2016,5.9
Shooter ,2007,7.2
The Boxtrolls ,2014,6.8
The Lego Movie ,2014,7.8
Gangster Squad ,2013,6.7
Year One ,2009,4.9
Invictus ,2009,7.4
State of Play ,2009,7.1
Duplicity ,2009,6.2
Planet 51 ,2009,6.1
Trouble with the Curve ,2012,6.8
Edge of Darkness ,2010,6.6
Righteous Kill ,2008,6
The Soloist ,2009,6.7
Priest ,2011,5.7
The Avengers ,2012,8.1
Winter's Tale ,2014,6.2
The Mortal Instruments: City of Bones ,2013,6
Meet Dave ,2008,4.9
Inkheart ,2008,6.1
The Spirit ,2008,4.8
Mortdecai ,2015,5.5
In the Name of the King: A Dungeon Siege Tale ,2007,3.8
Xi you ji zhi: Sun Wukong san da Baigu Jing ,2016,6
Deadpool ,2016,8.1
American Sniper ,2014,7.3
Goosebumps ,2015,6.4
Leatherheads ,2008,6
The Ridiculous 6 ,2015,4.9
Did You Hear About the Morgans? ,2009,4.7
The Internship ,2013,6.3
Resident Evil: Afterlife ,2010,5.9
Red Tails ,2012,5.9
That's My Boy ,2012,5.6
Ghost Rider: Spirit of Vengeance ,2011,4.3
Alvin and the Chipmunks ,2007,5.2
Captain Phillips ,2013,7.9
Date Night ,2010,6.3
The Equalizer ,2014,7.2
Mr. Popper's Penguins ,2011,6
The Forbidden Kingdom ,2008,6.6
Free Birds ,2013,5.9
Paddington ,2014,7.2
The Watch ,2012,5.7
Semi-Pro ,2008,5.8
The Pirates! Band of Misfits ,2012,6.7
Changeling ,2008,7.8
Elizabeth: The Golden Age ,2007,6.9
Imagine That ,2009,5.6
Muppets Most Wanted ,2014,6.4
Burlesque ,2010,6.4
Seven Pounds ,2008,7.7
Bullet to the Head ,2012,5.7
Black Mass ,2015,7
Law Abiding Citizen ,2009,7.4
Grindhouse ,2007,7.6
Lucky You ,2007,5.9
Zero Dark Thirty ,2012,7.4
Mamma Mia! ,2008,6.3
Valentine's Day ,2010,5.7
The Change-Up ,2011,6.4
From Paris with Love ,2010,6.5
The Twilight Saga: New Moon ,2009,4.6
The Adjustment Bureau ,2011,7.1
Ted ,2012,7
Anchorman 2: The Legend Continues ,2013,6.3
Super 8 ,2011,7.1
22 Jump Street ,2014,7.1
Yes Man ,2008,6.8
Central Intelligence ,2016,6.6
Daddy's Home ,2015,6.1
Into the Woods ,2014,6
We Bought a Zoo ,2011,7.1
Knowing ,2009,6.2
"Crazy, Stupid, Love. ",2011,7.4
Moneyball ,2011,7.6
Non-Stop ,2014,7
Race to Witch Mountain ,2009,5.7
Hansel & Gretel: Witch Hunters ,2013,6.1
I Am Number Four ,2011,6.1
13 Hours ,2016,7.4
The Book of Life ,2014,7.3
American Reunion ,2012,6.7
Into the Storm ,2014,5.8
The Judge ,2014,7.4
Ninja Assassin ,2009,6.4
Marmaduke ,2010,4.2
Hereafter ,2010,6.5
Hannibal Rising ,2007,6.2
The Host ,2013,5.9
The International ,2009,6.5
Free State of Jones ,2016,6.7
Run All Night ,2015,6.6
Eastern Promises ,2007,7.7
Your Highness ,2011,5.6
Dream House ,2011,6
Fair Game ,2010,6.8
Gamer ,2009,5.8
Beautiful Creatures ,2013,6.2
Zoolander 2 ,2016,4.8
Drive Angry ,2011,5.5
Street Fighter: The Legend of Chun-Li ,2009,3.7
Pirate Radio ,2009,7.4
Anna Karenina ,2012,6.6
Chappie ,2015,6.9
Child 44 ,2015,6.4
3:10 to Yuma ,2007,7.8
Taken 3 ,2014,6
Jonah Hex ,2010,4.7
The Infiltrator ,2016,7.3
Taken 2 ,2012,6.3
Journey to the Center of the Earth ,2008,5.8
The Bucket List ,2007,7.4
Prisoners ,2013,8.1
The Muppets ,2011,7.1
Resident Evil: Extinction ,2007,6.3
Blended ,2014,6.5
Savages ,2012,6.5
Across the Universe ,2007,7.4
Revolutionary Road ,2008,7.3
Babylon A.D. ,2008,5.6
Aliens in the Attic ,2009,5.4
Dredd ,2012,7.1
The Ghost Writer ,2010,7.2
Miracle at St. Anna ,2008,6
Bangkok Dangerous ,2008,5.4
Love in the Time of Cholera ,2007,6.4
Johnny English Reborn ,2011,6.3
Foodfight! ,2012,1.7
Argo ,2012,7.7
The Bounty Hunter ,2010,5.5
Victor Frankenstein ,2015,6
Charlie St. Cloud ,2010,6.5
The Mechanic ,2011,6.6
21 Jump Street ,2012,7.2
The Heat ,2013,6.6
Here Comes the Boom ,2012,6.5
Brüno ,2009,5.8
Red Riding Hood ,2011,5.4
One for the Money ,2012,5.3
The Interview ,2014,6.6
The Warrior's Way ,2010,6.3
Micmacs ,2009,7.2
Animal Kingdom: Let's go Ape ,2015,4.9
Man on a Ledge ,2012,6.6
The Big Year ,2011,6.2
American Hustle ,2013,7.3
The Proposal ,2009,6.7
Lucy ,2014,6.4
Fifty Shades of Grey ,2015,4.1
Lone Survivor ,2013,7.6
The Conjuring 2 ,2016,7.8
The Social Network ,2010,7.7
He's Just Not That Into You ,2009,6.4
Get Hard ,2015,6
Julie & Julia ,2009,7
42 ,2013,7.5
Dumb and Dumber To ,2014,5.7
The Intern ,2015,7.2
Ride Along 2 ,2016,5.9
Vantage Point ,2008,6.6
"I Love You, Man ",2009,7.1
Unbroken ,2014,7.2
17 Again ,2009,6.4
The Other Woman ,2014,6
The Final Destination ,2009,5.2
Bridge of Spies ,2015,7.6
Get Him to the Greek ,2010,6.4
The Lincoln Lawyer ,2011,7.3
Unknown ,2011,6.9
Horrible Bosses 2 ,2014,6.3
Escape from Planet Earth ,2013,5.9
Predators ,2010,6.4
The Odd Life of Timothy Green ,2012,6.6
Made of Honor ,2008,5.8
Jersey Boys ,2014,6.9
Aliens vs. Predator: Requiem ,2007,4.7
Music and Lyrics ,2007,6.5
Paul ,2011,7
The Guilt Trip ,2012,5.8
Scream 4 ,2011,6.2
Sex Tape ,2014,5.1
Final Destination 5 ,2011,5.9
Drillbit Taylor ,2008,5.7
A Million Ways to Die in the West ,2014,6.1
Extremely Loud & Incredibly Close ,2011,6.9
Morning Glory ,2010,6.5
The Other Boleyn Girl ,2008,6.7
The Reaping ,2007,5.7
Colombiana ,2011,6.4
The Impossible ,2012,7.6
Fantastic Mr. Fox ,2009,7.8
Big Miracle ,2012,6.5
Cirque du Freak: The Vampire's Assistant ,2009,5.9
Victor Frankenstein ,2015,6
Soul Men ,2008,6.5
Pandorum ,2009,6.8
Sunshine ,2007,7.3
A Thousand Words ,2012,5.9
Delgo ,2008,4.4
The Gunman ,2015,5.8
Disturbia ,2007,6.9
The Hunting Party ,2007,6.9
The Warlords ,2007,7.1
Snowpiercer ,2013,7
A Monster in Paris ,2011,6.8
Baahubali: The Beginning ,2015,8.4
The Time Traveler's Wife ,2009,7.1
Because I Said So ,2007,5.6
Frankenweenie ,2012,7
Grudge Match ,2013,6.4
Red Cliff ,2008,7.4
The Ugly Truth ,2009,6.5
The Grandmaster ,2013,6.5
Water for Elephants ,2011,6.9
Dragon Nest: Warriors' Dawn ,2014,6.4
Paul Blart: Mall Cop 2 ,2015,4.4
Precious ,2009,7.3
Riddick ,2013,6.4
City of Ember ,2008,6.5
The Master ,2012,7.1
Virgin Territory ,2007,4.8
The Express ,2008,7.3
The 5th Wave ,2016,5.2
Creed ,2015,7.7
The Town ,2010,7.6
What to Expect When You're Expecting ,2012,5.7
Burn After Reading ,2008,7
Nim's Island ,2008,6
Rush ,2013,8.1
Cop Out ,2010,5.6
How to Be Single ,2016,6.1
Dolphin Tale ,2011,6.9
Twilight ,2008,5.2
We're the Millers ,2013,7
Obitaemyy ostrov ,2009,5.3
Hot Tub Time Machine ,2010,6.4
Dolphin Tale 2 ,2014,6.4
Aloha ,2015,5.4
The Rite ,2011,6
Space Chimps ,2008,4.5
The Hangover ,2009,7.8
Ip Man 3 ,2015,7.2
There Be Dragons ,2011,5.9
The Blind Side ,2009,7.7
Horrible Bosses ,2011,6.9
True Grit ,2010,7.7
Identity Thief ,2013,5.7
21 ,2008,6.8
Trainwreck ,2015,6.3
Secretariat ,2010,7.2
TMNT ,2007,6.3
Friends with Benefits ,2011,6.6
Neighbors 2: Sorority Rising ,2016,6
Saving Mr. Banks ,2013,7.5
This Is 40 ,2012,6.2
Old Dogs ,2009,5.4
Underworld: Rise of the Lycans ,2009,6.6
License to Wed ,2007,5.3
Max Payne ,2008,5.4
In Time ,2011,6.7
The Back-up Plan ,2010,5.3
Something Borrowed ,2011,5.9
J. Edgar ,2011,6.6
Mirrors ,2008,6.2
Untraceable ,2008,6.2
Alex Cross ,2012,5.1
Heist ,2015,6.1
Nanny McPhee Returns ,2010,6.1
The X Files: I Want to Believe ,2008,5.9
Concussion ,2015,7.1
Abduction ,2011,5
Superhero Movie ,2008,4.5
Broken City ,2013,6.2
Premium Rush ,2012,6.5
Hot Pursuit ,2015,5.1
Parker ,2013,6.2
Furry Vengeance ,2010,3.8
Bait ,2012,5.2
Lions for Lambs ,2007,6.2
Walk Hard: The Dewey Cox Story ,2007,6.7
The Young Victoria ,2009,7.3
Whiteout ,2009,5.5
The Tree of Life ,2011,6.7
Sabotage ,2014,5.7
Punisher: War Zone ,2008,6
The Walk ,2015,7.4
Biutiful ,2010,7.5
The Lovers ,2015,4.5
Black Water Transit ,2009,7.2
The Maze Runner ,2014,6.8
Unfinished Business ,2015,5.4
Stolen ,2012,5.5
Ponyo ,2008,7.7
The Longest Ride ,2015,7.1
Playing for Keeps ,2012,5.7
Mandela: Long Walk to Freedom ,2013,7.1
Thunder and the House of Magic ,2013,6.3
The Darkest Hour ,2011,4.9
Step Up Revolution ,2012,6.5
Safe ,2012,6.5
Doomsday ,2008,6
The Reader ,2008,7.6
Wanderlust ,2012,5.6
Bridesmaids ,2011,6.8
This Is the End ,2013,6.7
Takers ,2010,6.2
The Big Wedding ,2013,5.6
"Big Mommas: Like Father, Like Son ",2011,4.4
Source Code ,2011,7.5
The Number 23 ,2007,6.4
The Young and Prodigious T.S. Spivet ,2013,7.1
Repo Men ,2010,6.3
Dragon Wars: D-War ,2007,3.6
The Incredible Burt Wonderstone ,2013,5.9
Going the Distance ,2010,6.3
Criminal ,2016,6.3
Flight ,2012,7.3
The Grand Budapest Hotel ,2014,8.1
Ghostbusters ,2016,5.5
Vacation ,2015,6.1
The Vow ,2012,6.8
Extraordinary Measures ,2010,6.5
Lee Daniels' The Butler ,2013,7.2
District 9 ,2009,8
27 Dresses ,2008,6.1
Hannah Montana: The Movie ,2009,4.2
Up in the Air ,2009,7.4
Warm Bodies ,2013,6.9
Looper ,2012,7.4
Hope Springs ,2012,6.3
Forgetting Sarah Marshall ,2008,7.2
Baby Mama ,2008,6
Bride Wars ,2009,5.4
Midnight in Paris ,2011,7.7
The Nut Job ,2014,5.8
P.S. I Love You ,2007,7.1
Atonement ,2007,7.8
Letters to Juliet ,2010,6.5
The Three Stooges ,2012,5.1
Sicario ,2015,7.6
Southpaw ,2015,7.5
Drag Me to Hell ,2009,6.6
The Age of Adaline ,2015,7.2
Step Up 3D ,2010,6.2
30 Days of Night ,2007,6.6
The Cabin in the Woods ,2012,7
Meet the Spartans ,2008,2.7
Hanna ,2011,6.8
Larry Crowne ,2011,6.1
Carrie ,2013,5.9
9 ,2009,7.1
Side Effects ,2013,7.1
Winnie the Pooh ,2011,7.3
Get on Up ,2014,6.9
Deliver Us from Evil ,2014,6.2
Sanctum ,2011,5.9
The Five-Year Engagement ,2012,6.2
The Next Three Days ,2010,7.4
Love & Other Drugs ,2010,6.7
88 Minutes ,2007,5.9
Splice ,2009,5.8
Pride and Glory ,2008,6.7
Fright Night ,2011,6.4
Dragonball: Evolution ,2009,2.7
The Last Stand ,2013,6.4
Hoodwinked Too! Hood vs. Evil ,2011,4.8
The Imaginarium of Doctor Parnassus ,2009,6.8
Barney's Version ,2010,7.3
Runner Runner ,2013,5.6
Dead Man Down ,2013,6.5
The Assassination of Jesse James by the Coward Robert Ford ,2007,7.5
1911 ,2011,6
Little Nicholas ,2009,7.2
Wild Card ,2015,5.6
Machine Gun Preacher ,2011,6.8
Animals United ,2010,4.9
The Color of Freedom ,2007,7.1
United Passions ,2014,2
Grace of Monaco ,2014,5.7
A Warrior's Tail ,2015,4.1
Sausage Party ,2016,7.5
Pitch Perfect 2 ,2015,6.5
Frost/Nixon ,2008,7.7
The Boss ,2016,5.3
Straight Outta Compton ,2015,7.9
Florence Foster Jenkins ,2016,7.1
Role Models ,2008,6.9
The Big Short ,2015,7.8
Taking Woodstock ,2009,6.7
Harlock: Space Pirate ,2013,6.5
Last Vegas ,2013,6.6
Safe Haven ,2013,6.7
No Reservations ,2007,6.3
Kick-Ass ,2010,7.7
30 Minutes or Less ,2011,6.1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",2014,6.2
3 Days to Kill ,2014,6.2
We Own the Night ,2007,6.9
The Spy Next Door ,2010,5.4
Our Brand Is Crisis ,2015,6.1
Pride and Prejudice and Zombies ,2016,5.8
How to Lose Friends & Alienate People ,2008,6.5
Kick-Ass 2 ,2013,6.6
Brick Mansions ,2014,5.7
Knocked Up ,2007,7
My Sister's Keeper ,2009,7.4
"Welcome Home, Roscoe Jenkins ",2008,5.3
Rendition ,2007,6.8
The Jungle Book ,2016,7.8
The Sisterhood of the Traveling Pants 2 ,2008,6.2
Joyful Noise ,2012,5.7
Anonymous ,2011,6.9
The Duchess ,2008,6.9
Case 39 ,2009,6.2
Martian Child ,2007,6.8
Spy Kids: All the Time in the World in 4D ,2011,3.6
Money Monster ,2016,6.7
What Just Happened ,2008,5.7
Paul Blart: Mall Cop ,2009,5.2
A Walk Among the Tombstones ,2014,6.5
Pineapple Express ,2008,7
Legion ,2010,5.2
Pain & Gain ,2013,6.5
Brothers ,2009,7.1
New Year's Eve ,2011,5.7
The Raven ,2012,6.4
Accidental Love ,2015,4
Self/less ,2015,6.5
Gran Torino ,2008,8.2
W. ,2008,6.4
Taken ,2008,7.9
The Best of Me ,2014,6.7
The Help ,2011,8.1
The Fifth Estate ,2013,6.2
Viy ,2014,5.4
The Face of an Angel ,2014,4.7
Cloverfield ,2008,7
No Country for Old Men ,2007,8.1
Ride Along ,2014,6.2
Parental Guidance ,2012,6.1
No Strings Attached ,2011,6.2
The Lucky One ,2012,6.5
Bridge to Terabithia ,2007,7.2
A Madea Christmas ,2013,4.7
The Grey ,2011,6.8
Contraband ,2012,6.5
There Will Be Blood ,2007,8.1
The House Bunny ,2008,5.5
Million Dollar Arm ,2014,7
The Giver ,2014,6.5
